uf,estado,municipio,codigo_ibge,periodo,zona_residencial,doenca,numero_casos,taxa_incidencia
PA,Pará,Mocajuba,1504604,2015-2019,total,Vivax,980,647.356078871751
PA,Pará,Baião,1501204,2004-2008,rural,Vivax+Falciparum,16,29.4149276765265
PA,Pará,Cametá,1502103,2004-2008,rural,Vivax+Falciparum,4,1.33041283418061
PA,Pará,Mocajuba,1504604,2004-2008,rural,Vivax+Falciparum,0,0
PA,Pará,Baião,1501204,2015-2019,rural,Vivax+Falciparum,0,0
PA,Pará,Cametá,1502103,2015-2019,rural,Vivax+Falciparum,0,0
PA,Pará,Mocajuba,1504604,2015-2019,rural,Vivax+Falciparum,0,0
PA,Pará,Baião,1501204,2004-2008,urban,Vivax+Falciparum,0,0
PA,Pará,Cametá,1502103,2004-2008,urban,Vivax+Falciparum,2,0.856819303045761
PA,Pará,Mocajuba,1504604,2004-2008,urban,Vivax+Falciparum,0,0
PA,Pará,Baião,1501204,2015-2019,urban,Vivax+Falciparum,0,0
PA,Pará,Cametá,1502103,2015-2019,urban,Vivax+Falciparum,0,0
PA,Pará,Mocajuba,1504604,2015-2019,urban,Vivax+Falciparum,0,0
PA,Pará,Baião,1501204,2004-2008,total,Vivax+Falciparum,0,0
PA,Pará,Cametá,1502103,2004-2008,total,Vivax+Falciparum,6,1.12342720191732
PA,Pará,Mocajuba,1504604,2004-2008,total,Vivax+Falciparum,0,0
PA,Pará,Baião,1501204,2015-2019,total,Vivax+Falciparum,0,0
PA,Pará,Cametá,1502103,2015-2019,total,Vivax+Falciparum,0,0
PA,Pará,Mocajuba,1504604,2015-2019,total,Vivax+Falciparum,0,0
